memory.max_usage_in_bytes,input_2,input_1,history_item,chromInfo,input_format|paired|reverse,input_format|paired|forward,known_splice_gtf,input_format|reads_r,input_format|reads_f,input_format|reads,input_format|reads2,input_format|reads1,adv|known_splice_gtf,input_2_extension,input_1_extension,history_item_extension,chromInfo_extension,input_format|paired|reverse_extension,input_format|paired|forward_extension,known_splice_gtf_extension,input_format|reads_r_extension,input_format|reads_f_extension,input_format|reads_extension,input_format|reads2_extension,input_format|reads1_extension,adv|known_splice_gtf_extension,dbkey,rna_strandness,type,new_summary,summary_file
22073196544,0,8844311588,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
21664731136,0,10033796920,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
14852071424,0,5815929937,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
20946862080,0,8382791941,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
19355475968,0,7497959017,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
17601740800,0,5021128809,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
20537278464,0,7013672336,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38Patch11,nan,single,false,false
17709809664,1326986949,2574975948,0,0,0,0,0,0,0,0,0,0,0,fastqsanger.gz,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
12584886272,0,1475089685,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
13951254528,0,1478969311,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
14257790976,0,1494164414,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
11942830080,0,960577973,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
11992518656,0,954716834,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
11815223296,0,970941408,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
14493921280,0,1755795127,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
14353149952,0,1757597726,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hg38,nan,single,false,false
